dmc,anchor,description,red,green,blue,hexValue
3828,373,Hazelnut Brown,183,139,97,B78B61
3829,901,Old Gold Very Dark,169,130,4,A98204
3830,5975,Terra Cotta,185,85,68,BC5544
3831,29,Raspberry Dark,179,47,72,B32F48
3832,28,Raspberry Medium,219,85,110,DB556E
3833,26,Raspberry Light,234,134,153,EA8699
3834,100,Grape Dark,114,55,93,72375D
3835,98,Grape Medium,148,96,131,946083
3836,90,Grape Light,186,145,170,BA91AA
3837,100,Lavender Ultra Dark,108,58,110,6C3A6E
3838,177,Lavender Blue Dark,92,114,148,5C7294
3839,176,Lavender Blue Medium,123,142,171,7B8EAB
3840,117,Lavender Blue Light,176,192,218,B0C0DA
3841,9159,Baby Blue Pale,205,223,237,CDDFED
3842,164,Wedgewood Very Dark,50,102,124,32667C
3843,1089,Electric Blue,20,170,208,14AAD0
3844,410,Turquoise Bright Dark,18,174,186,12AEBA
3845,1089,Turquoise Bright Medium,4,196,202,04C4CA
3846,1090,Turquoise Bright Light,6,227,230,06E3E6
3847,1076,Teal Green Dark,52,125,117,347D75
3848,1074,Teal Green Medium,85,147,146,419392
3849,1070,Teal Green Light,82,179,164,52B3AE
3850,189,Green Bright Dark,55,132,119,378477
3851,187,Green Bright Light,73,179,161,49B3A1
3852,306,Straw Very Dark,205,157,55,CD9D37
3853,1003,Autumn Gold Dark,242,151,70,F29746
3854,313,Autumn Gold Medium,242,175,104,F2AF68
3855,311,Autumn Gold Light,250,211,150,FAD396
3856,1010,Mahogany Ultra Very Light,255,211,181,FFD3B5
3857,936,Rosewood Dark,104,37,26,68251A
3858,1007,Rosewood Medium,150,74,63,964A3F
3859,914,Rosewood Light,186,139,124,BA8B7C
3860,379,Cocoa,125,93,87,7D5D57
3861,378,Cocoa Light,166,136,129,A68881
3862,358,Mocha Beige Dark,138,110,78,8A6E4E
3863,379,Mocha Beige Medium,164,131,92,A4835C
3864,376,Mocha Beige Light,203,182,156,CBB69C
3865,2,Winter White,249,247,241,F9F7F1
3866,926,Mocha Brown Ultra Very Light,250,246,240,FAF6F0
